1,Lionel Messi,1987-06-24,RW,1,120000000
2,Neymar,1992-02-05,LW,1,100000000
3,Luis Suarez,1987-01-24,CF,1,90000000
4,Sergio Busquets,1988-07-16,DM,1,50000000
5,Ivan Rakitic,1988-03-10,CM,1,40000000
6,Gerrard Pique,1987-02-02,CB,1,40000000
7,Andres Iniesta,1984-05-11,CM,1,35000000
8,Arda Turan,1987-01-30,LW,1,35000000
9,Jordi Alba,1989-03-21,LB,1,35000000
10,Javier Mascherano,1984-06-08,CB,1,15000000
11,Cristiano Ronaldo,1985-02-05,LW,3,110000000
12,Gareth Bale,1989-07-16,RW,3,80000000
13,James Rodriguez,1991-07-12,AM,3,80000000
14,Luka Modric,1985-09-09,CM,3,50000000
15,Karim Benzema,1987-12-19,CF,3,50000000
16,Toni Kroos,1990-01-04,CM,3,50000000
17,Isco,1992-04-21,AM,3,45000000
18,Sergio Ramos,1986-03-30,CB,3,40000000
19,Marcelo,1988-05-12,LB,3,30000000
20,Raphaell Varane,1993-04-25,CB,3,30000000
21,Daniel Carvajal,1992-01-11,RB,3,25000000
22,Eden Hazard,1991-01-07,LW,21,70000000
23,Cesc Fabregas,1987-05-04,CM,21,50000000
24,Diego Costa,1988-10-07,CF,21,50000000
25,Nemanja Matic,1988-08-01,DM,21,40000000
26,Oscar,1991-09-09,AM,21,38000000
27,Thibaut Courtois,1992-05-11,CF,21,35000000
28,Willian,1988-08-09,GK,21,30000000
29,Ramires,1987-03-24,RW,21,25000000
30,Wayne Rooney,1985-10-24,SS,22,40000000
31,Juan Mata,1988-04-28,RW,22,34000000
32,David de Gea,1990-11-07,GK,22,30000000
33,Ander Herrera,1989-08-14,AM,22,28000000
34,Marouane Fellaini,1987-11-22,CM,22,20000000
35,Kevin De Bruyne,1991-06-28,RW,23,60000000
36,Sergio Aguero,1988-06-02,CF,23,60000000
37,David Silva,1986-01-08,AM,23,38000000
38,Vincent Kompany,1986-04-10,CB,23,30000000
39,Fernandinho,1985-05-04,CM,23,28000000
40,Eliaquim Mangala,1991-02-13,CB,23,28000000
41,Wilfried Bony,1988-12-10,CF,23,25000000
42,Yaya Toure,1983-05-13,CM,23,22000000
43,Samir Nasri,1987-06-26,LW,23,21000000
44,Jesus Navas,1985-11-21,RW,23,20000000
45,Alexis Sanchez,1988-12-19,LW,24,55000000
46,Mesut Ozil,1988-10-15,AM,24,40000000
47,Aaron Ramsey,1990-12-26,CM,24,28000000
48,Santi Cazorla,1990-12-26,CM,24,28000000
49,Jack Wilshere,1992-01-01,CM,24,25000000
50,Theo Walcott,1989-03-16,RW,24,25000000
51,Olivier Giroud,1986-09-30,CF,24,24000000
52,Laurent Koscielny,1985-09-10,CB,24,20000000
53,Alex Oxlade-Chamberlain,1993-08-15,RW,24,20000000
54,Coutinho,1992-06-12,AM,33,30000000
55,Jordan Henderson,1990-06-17,CM,33,28000000
56,Daniel Sturridge,1989-09-01,CF,33,25000000
57,Adam Lallana,1988-05-10,AM,33,20000000
58,Mamadou Sakho,1990-02-13,CB,33,18000000
59,Thomas Muller,1989-09-13,SS,40,75000000
60,Robert Lewandowski,1988-08-21,CF,40,70000000
61,Manuel Neuer,1986-03-27,GK,40,45000000
62,David Alaba,1992-06-24,LB,40,45000000
63,Mario Gotze,1992-06-03,LB,40,45000000
64,Jerome Boateng,1988-09-03,CB,40,40000000
65,Arjen Robben,1984-01-23,RW,40,28000000
66,Javi Martinez,1988-09-02,CB,40,28000000
67,Medhi Benatia,1987-04-17,CB,40,26000000
68,Thiago,1991-04-11,CM,40,25000000
69,Yevhen Konoplyanka,1989-09-10,AM,,35000000
70,Mario Keneiro,1990-05-05,CM,,20000000
71,Cesc Rodrigues,1991-03-25,GK,,20000000
72,Pizarro,1992-01-29,CF,,45000000
73,Petr Kojukivich,1993-09-20,RW,,30000000
74,Dmitriy Korolenko,1992-09-12,RW,,25000000
